City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,gbadolite,4.2833,21.0167,73.62,91,75,3.83,CD,1714867881
265,ushachy,55.1786,28.6035,48.38,92,48,6.17,BY,1714867882
266,harper,4.375,-7.7169,82.18,83,71,9.13,LR,1714867883
267,cannonvale,-20.2833,148.7,76.59,77,78,13.27,AU,1714867884
268,prineville,44.2999,-120.8345,45.12,90,100,12.66,US,1714867884
269,eforie sud,44.0229,28.6494,47.21,78,33,9.82,RO,1714867885
270,boende,-0.2167,20.8667,72.93,85,96,2.77,CD,1714867887
271,antsohihy,-14.8796,47.9875,75.15,67,12,11.52,MG,1714867887
272,canutama,-6.5339,-64.3831,81.48,78,94,0.4,BR,1714867888
273,lerwick,60.1545,-1.1494,48.2,98,100,16.13,GB,1714867889
274,daru,-9.0763,143.2092,80.87,90,100,17.98,PG,1714867890
275,arafat,21.3594,39.9664,81.03,47,0,0.31,SA,1714867890
276,klyuchi,52.2667,79.1667,51.39,72,100,4.03,RU,1714867891
277,richards bay,-28.783,32.0377,69.62,74,0,14.83,ZA,1714867892
278,quang ngai,15.1167,108.8,84.0,60,96,3.96,VN,1714867605
279,lys'va,58.1086,57.8053,24.44,79,21,5.3,RU,1714867893
280,talnakh,69.4865,88.3972,1.2,95,90,6.64,RU,1714867894
281,glendive,47.1053,-104.7125,60.17,30,0,5.75,US,1714867817
282,kruisfontein,-34.0033,24.7314,61.88,73,54,5.97,ZA,1714867896
283,mukalla,14.5425,49.1242,83.91,74,2,6.11,YE,1714867896
284,namibe,-15.1961,12.1522,74.19,65,0,6.17,AO,1714867897
285,tulun,54.5611,100.5792,50.02,67,4,6.6,RU,1714867898
286,graaff-reinet,-32.2522,24.5308,61.16,60,20,3.91,ZA,1714867900
287,barra dos coqueiros,-10.9089,-37.0386,82.42,78,40,11.5,BR,1714867900
288,cushing,35.9851,-96.767,68.4,68,100,5.75,US,1714867901
289,rudnya,54.947,31.0934,48.79,78,75,9.46,RU,1714867902
290,sur,22.5667,59.5289,87.19,60,0,12.64,OM,1714867903
291,kone,-21.0595,164.8658,79.61,53,80,1.88,NC,1714867903
292,qa'en,33.7265,59.1844,60.8,44,6,2.91,IR,1714867904
293,khonsa,27.0167,95.5667,72.19,63,92,3.42,IN,1714867905
294,charters towers,-20.1,146.2667,76.48,59,79,6.46,AU,1714867906
295,daulatpur,26.5015,67.9706,84.34,38,0,7.4,PK,1714867907
296,cabedelo,-6.9811,-34.8339,77.67,85,100,10.65,BR,1714867907
297,leh,34.1667,77.5833,27.39,86,88,0.98,IN,1714867908
298,bel ombre,-4.6167,55.4167,83.07,78,99,8.63,SC,1714867909
299,remire-montjoly,4.9167,-52.2667,80.64,94,20,0.0,GF,1714867910
300,zaraza,9.3503,-65.3245,83.71,65,96,8.39,VE,1714867910
301,dunedin,-45.8742,170.5036,53.8,68,73,1.99,NZ,1714867911
302,suicheng,33.8963,117.9331,55.89,95,100,5.14,CN,1714867912
303,savastepe,39.3832,27.6561,49.66,90,82,4.72,TR,1714867913
304,fairfield glade,36.0004,-84.8863,66.7,97,100,4.61,US,1714867914
305,salalah,17.0151,54.0924,82.49,89,20,1.14,OM,1714867915
306,kavaratti,10.5669,72.642,84.43,69,72,7.2,IN,1714867915
307,fortuna,40.5982,-124.1573,50.34,89,99,4.0,US,1714867916
308,la ronge,55.1001,-105.2842,43.05,57,100,8.57,CA,1714867917
309,tazovsky,67.4667,78.7,13.96,92,76,13.0,RU,1714867918
310,abadan,30.3392,48.3043,78.71,55,0,10.58,IR,1714867919
311,rio grande,-32.035,-52.0986,67.95,95,82,12.8,BR,1714867747
312,santa isabel,-23.3156,-46.2214,69.1,72,3,0.94,BR,1714867920
313,tikrit,34.6071,43.6782,74.25,35,0,10.63,IQ,1714867921
314,saipan,15.1355,145.701,88.5,66,40,11.5,MP,1714867922
315,mulayjah,27.271,48.4242,78.1,46,0,5.01,SA,1714867923
316,eagle mountain,40.3141,-112.0069,72.7,25,55,11.01,US,1714867924
317,jamestown,42.097,-79.2353,60.39,80,100,14.97,US,1714867913
318,antofagasta,-23.65,-70.4,59.97,90,32,2.59,CL,1714867764
319,saint-pierre,-21.3393,55.4781,73.08,73,40,14.97,RE,1714867926
320,laguna,38.421,-121.4238,59.29,71,100,17.27,US,1714867927
321,praia da vitoria,38.7333,-27.0667,60.31,88,16,6.31,PT,1714867928
322,corner brook,48.9667,-57.9484,38.5,83,11,4.5,CA,1714867929
323,kani keli,-12.9536,45.1033,81.66,71,85,6.98,YT,1714867930
324,turpan,42.9333,89.1667,78.33,11,69,5.08,CN,1714867930
325,brookings,44.3114,-96.7984,60.19,48,0,6.91,US,1714867717
326,holualoa,19.6228,-155.9522,78.64,74,75,11.5,US,1714867932
327,mocimboa,-11.3167,40.35,75.13,90,100,10.6,MZ,1714867933
328,ribadesella,43.4614,-5.0596,57.94,87,81,4.61,ES,1714867934
329,nguigmi,14.2495,13.1092,88.79,16,1,10.4,NE,1714867935
330,port augusta,-32.5,137.7667,63.79,53,2,5.95,AU,1714867935
331,masjed soleyman,31.9364,49.3039,75.25,40,0,0.56,IR,1714867936
332,al harithah,30.7186,47.7208,80.01,36,0,2.84,IQ,1714867937
333,dudinka,69.4058,86.1778,1.67,98,88,5.99,RU,1714867938
334,punta arenas,-53.15,-70.9167,39.11,55,100,22.82,CL,1714867859
335,puerto aysen,-45.4,-72.7,34.74,98,79,4.85,CL,1714867940
336,ulsteinvik,62.3432,5.8487,53.76,74,92,1.99,NO,1714867940
337,castillos,-34.1667,-53.8333,61.77,96,84,6.69,UY,1714867941
338,ust-tsilma,65.441,52.1498,12.61,98,99,1.99,RU,1714867943
339,anavyssos,37.7333,23.95,63.18,63,66,14.07,GR,1714867944
340,iskushuban,10.2837,50.23,83.14,68,73,6.64,SO,1714867944
341,mokhsogollokh,61.4681,128.9203,39.22,71,56,2.26,RU,1714867940
